ID, Name, Org Name, Total Networks Searched, Time Frame, Reason, Case #, Search Time, Search Type, Text Prompt, Moderation
b1387d7c-e567-4b37-911c-e8d47a2a25cf,Matthew Cyr,South Portland ME PD,124,"03/20/2025, 04:00:00 AM UTC
03/24/2025, 03:59:59 AM UTC",Criminal Investigation,,"04/10/2025, 06:42:39 PM UTC",search - Mobile,,
5d55e584-6acb-4def-b289-656b27bac1d4,Matthew Cyr,South Portland ME PD,124,"03/20/2025, 04:00:00 AM UTC
03/24/2025, 03:59:59 AM UTC",Criminal Investigation,,"04/10/2025, 06:44:34 PM UTC",search - Mobile,,
b94ea6cb-65a5-4cbb-8bef-a7c24e0e2aa0,Christopher Todd,South Portland ME PD,2,"04/19/2025, 07:24:34 PM UTC
04/20/2025, 07:24:34 PM UTC",Test/Training,,"04/20/2025, 07:24:34 PM UTC",lookup - Mobile,,
2203f8a7-547c-442a-8e6a-6940a6457b84,Christopher Todd,South Portland ME PD,126,"04/21/2025, 02:30:00 PM UTC
04/24/2025, 04:30:00 PM UTC",Test/training,,"04/24/2025, 04:28:39 PM UTC",search,,
5742ac0b-dc15-4601-ac85-54c7af1b003d,Jonathan Stearns,South Portland ME PD,2,"03/02/2025, 01:00:00 PM UTC
04/09/2025, 04:30:00 PM UTC",stolen vehicle,25-006388,"04/09/2025, 04:15:41 PM UTC",search,,
11a97845-74a8-4c2e-b722-475623cac96c,Jonathan Stearns,South Portland ME PD,2,"03/02/2025, 01:00:00 PM UTC
04/09/2025, 04:30:00 PM UTC",stolen vehicle,25-006388,"04/09/2025, 04:18:00 PM UTC",search,,
